label,youtube_id,time_start,time_end,split
clay pottery making,---0dWlqevI,19,29,train
news anchoring,---aQ-tA5_A,9,19,train
using bagging machine,---j12rm3WI,14,24,train
javelin throw,--07WQ2iBlw,1,11,train
climbing a rope,--0NTAs-fA0,29,39,train
sipping cup,--0l35AkU34,68,78,train
flipping pancake,--33Lscn6sk,4,14,train
tickling,--3OAstUWtU,45,55,train
watering plants,--3lTx87ebQ,23,33,train
eating spaghetti,--3ouPhoy2A,20,30,train
dribbling basketball,--4-0ihtnBU,58,68,train
calligraphy,--4NLFGNfAs,11,21,train
playing tennis,--56QUhyDQM,185,195,train
chiseling stone,--5kVeU1uco,58,68,train
crossing eyes,--5urtlw6gs,49,59,train
mountain climber (exercise),--65_UAU7ao,0,10,train
tap dancing,--6q_33gNew,132,142,train
planing wood,--6zxbYq5M4,207,217,train
using inhaler,--71SekUwOA,13,23,train
playing saxophone,--7VUM9MKg4,136,146,train
slapping,--7goKgS4kc,15,25,train
shaking head,--8FQVwWH0M,3,13,train
driving tractor,--9s8lCov-I,2,12,train
delivering mail,--AC9Wionlg,0,10,train
riding a bike,--DiygSPius,52,62,train
